"","gender","age","elecdist","polintr","pltrust","govprfmBB","prtfvote16"
"640","Karl",42,7,"Nokkurn áhuga","Sumum","Frekar illa","Píratar"
"641","Karl",42,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Viðreisn"
"642","Karl",73,5,"Mikinn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"643","Karl",26,4,"Nokkurn áhuga",NA,"Mjög illa","Samfylkingin"
"644","Karl",38,5,"Mikinn áhuga","Fáum","Frekar illa","Samfylkingin"
"645","Karl",71,2,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"646","Kona",36,7,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"647","Karl",54,6,"Mikinn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"648","Karl",24,5,"Nokkurn áhuga","Fáum","Mjög illa",NA
"649","Kona",87,4,"Mikinn áhuga","Fáum","Mjög illa","Sjálfstæðisflokkurinn"
"650","Karl",75,5,"Nokkurn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"651","Karl",32,1,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"652","Karl",70,5,"Mjög mikinn áhuga","Fáum","Frekar vel","Sjálfstæðisflokkurinn"
"653","Karl",39,7,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"654","Karl",64,4,"Nokkurn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"655","Kona",54,5,"Mjög mikinn áhuga","Sumum","Frekar vel","Viðreisn"
"656","Kona",35,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"657","Karl",71,5,"Mjög mikinn áhuga"," Mörgum","Mjög vel","Viðreisn"
"658","Karl",38,5,"Mikinn áhuga",NA,"Frekar illa","Björt framtíð"
"659","Karl",25,7,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"660","Karl",19,2,"Nokkurn áhuga",NA,NA,"Framsóknarflokkurinn"
"661","Karl",45,5,"Lítinn áhuga",NA,"Frekar vel","Kaus ekki"
"662","Karl",32,4,"Nokkurn áhuga","Sumum","Frekar illa","Viðreisn"
"663","Karl",71,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Alþýðufylkingin"
"664","Karl",45,5,"Nokkurn áhuga","Fáum","Mjög illa","Viðreisn"
"665","Karl",51,6,"Nokkurn áhuga","Sumum","Frekar illa","Píratar"
"666","Karl",55,4,"Mikinn áhuga","Fáum","Mjög illa",NA
"667","Karl",19,1,"Nokkurn áhuga","Sumum","Mjög illa","Sjálfstæðisflokkurinn"
"668","Kona",58,7,"Nokkurn áhuga","Fáum",NA,"Flokkur fólksins"
"669","Kona",37,7,"Lítinn áhuga",NA,"Frekar vel","Björt framtíð"
"670","Kona",34,6,"Lítinn áhuga",NA,"Frekar illa",NA
"671","Karl",75,6,"Nokkurn áhuga","Fáum","Frekar vel","Flokkur fólksins"
"672","Karl",60,6,"Nokkurn áhuga"," Mörgum","Frekar vel","Viðreisn"
"673","Kona",85,5,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"674","Karl",25,2,"Nokkurn áhuga"," Mörgum","Frekar vel","Vinstrihreyfingin grænt framboð"
"675","Karl",21,5,"Nokkurn áhuga","Fáum","Frekar illa","Samfylkingin"
"676","Karl",42,4,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"677","Kona",65,5,"Mikinn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"678","Kona",18,2,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"679","Karl",30,1,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"680","Kona",41,7,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"681","Kona",56,1,"Mjög mikinn áhuga"," Mörgum","Mjög illa","Vinstrihreyfingin grænt framboð"
"682","Karl",71,7,"Mikinn áhuga","Sumum","Mjög illa","Viðreisn"
"683","Kona",67,5,"Mjög mikinn áhuga","Fáum","Frekar illa","Framsóknarflokkurinn"
"684","Kona",65,5,"Mikinn áhuga","Fáum","Frekar vel","Viðreisn"
"685","Kona",21,2,"Nokkurn áhuga","Sumum","Frekar vel","Kaus ekki"
"686","Karl",49,7,"Nokkurn áhuga","Fáum","Frekar vel","Húmanistaflokkurinn"
"687","Karl",47,2,"Nokkurn áhuga",NA,"Mjög illa","Sjálfstæðisflokkurinn"
"688","Karl",49,4,"Mikinn áhuga","Fáum","Frekar vel","Sjálfstæðisflokkurinn"
"689","Kona",68,5,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"690","Karl",24,6,"Lítinn áhuga",NA,NA,NA
"691","Kona",20,6,"Mikinn áhuga"," Mörgum","Mjög illa","Vinstrihreyfingin grænt framboð"
"692","Kona",51,5,"Nokkurn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"693","Karl",71,1,"Mikinn áhuga","Yfirleitt","Frekar vel","Björt framtíð"
"694","Karl",59,2,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"695","Kona",23,5,"Nokkurn áhuga",NA,NA,"Samfylkingin"
"696","Kona",46,4,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"697","Kona",65,5,"Mjög mikinn áhuga",NA,"Frekar illa","Björt framtíð"
"698","Karl",31,7,"Mikinn áhuga"," Mörgum","Frekar vel","Vinstrihreyfingin grænt framboð"
"699","Karl",27,6,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"700","Kona",25,6,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"701","Karl",66,7,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"702","Karl",25,6,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"703","Kona",35,2,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"704","Karl",60,7,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"705","Karl",25,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"706","Karl",52,5,"Engan áhuga",NA,"Mjög illa",NA
"707","Karl",61,1,"Mikinn áhuga",NA,"Frekar illa","Viðreisn"
"708","Karl",25,7,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"709","Kona",67,4,"Mjög mikinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"710","Kona",26,5,"Nokkurn áhuga","Sumum","Frekar illa","Samfylkingin"
"711","Kona",74,6,"Nokkurn áhuga","Sumum","Frekar illa",NA
"712","Kona",37,6,"Nokkurn áhuga","Sumum","Frekar illa",NA
"713","Karl",18,5,"Nokkurn áhuga","Sumum",NA,"Kaus ekki"
"714","Kona",25,6,"Mikinn áhuga","Sumum","Frekar illa","Björt framtíð"
"715","Karl",43,7,"Mikinn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"716","Kona",23,5,"Lítinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"717","Karl",43,6,"Nokkurn áhuga"," Mörgum","Frekar vel","Samfylkingin"
"718","Karl",44,2,"Nokkurn áhuga","Fáum","Frekar illa","Píratar"
"719","Karl",23,2,"Mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"720","Kona",58,1,"Mikinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"721","Karl",36,1,"Nokkurn áhuga","Fáum","Mjög illa","Framsóknarflokkurinn"
"722","Karl",31,7,"Nokkurn áhuga",NA,"Mjög illa",NA
"723","Karl",38,5,"Nokkurn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"724","Kona",71,1,"Nokkurn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"725","Kona",48,4,"Nokkurn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"726","Kona",32,5,"Nokkurn áhuga","Sumum","Mjög vel","Framsóknarflokkurinn"
"727","Kona",49,6,"Nokkurn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"728","Kona",38,5,"Nokkurn áhuga","Sumum","Frekar illa","Björt framtíð"
"729","Karl",73,5,"Mjög mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"730","Karl",49,5,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"731","Kona",58,4,"Mikinn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"732","Karl",39,7,"Nokkurn áhuga","Fáum","Mjög illa","Kaus ekki"
"733","Karl",44,4,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"734","Karl",64,4,"Mikinn áhuga",NA,"Frekar illa","Viðreisn"
"735","Kona",37,7,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"736","Karl",35,6,"Nokkurn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"737","Karl",42,7,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"738","Kona",60,5,"Lítinn áhuga",NA,NA,NA
"739","Kona",48,5,"Nokkurn áhuga","Fáum","Frekar vel","Viðreisn"
"740","Karl",32,7,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"741","Kona",33,2,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"742","Karl",51,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"743","Karl",25,1,"Mjög mikinn áhuga","Sumum","Frekar vel","Viðreisn"
"744","Kona",55,6,"Mjög mikinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"745","Kona",70,2,"Nokkurn áhuga","Sumum",NA,"Framsóknarflokkurinn"
"746","Kona",72,4,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"747","Karl",51,5,"Nokkurn áhuga","Fáum",NA,"Píratar"
"748","Kona",63,4,"Nokkurn áhuga","Fáum","Frekar illa",NA
"749","Kona",36,2,"Nokkurn áhuga","Sumum",NA,NA
"750","Karl",30,6,"Nokkurn áhuga","Sumum","Mjög illa","Framsóknarflokkurinn"
"751","Kona",38,5,"Nokkurn áhuga","Sumum","Frekar vel","Viðreisn"
"752","Kona",57,6,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"753","Kona",61,1,"Nokkurn áhuga","Sumum","Frekar illa","Samfylkingin"
"754","Karl",77,4,"Lítinn áhuga",NA,"Mjög illa","Flokkur fólksins"
"755","Karl",47,6,"Mikinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"756","Karl",23,4,"Nokkurn áhuga"," Mörgum",NA,"Björt framtíð"
"757","Kona",30,4,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"758","Karl",29,6,"Mikinn áhuga",NA,"Frekar illa","Flokkur fólksins"
"759","Karl",54,6,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"760","Kona",48,5,"Nokkurn áhuga","Sumum","Mjög vel","Björt framtíð"
"761","Karl",37,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"762","Karl",77,2,"Mikinn áhuga","Sumum",NA,"Píratar"
"763","Karl",54,7,"Lítinn áhuga",NA,"Frekar vel","Viðreisn"
"764","Kona",82,1,"Nokkurn áhuga",NA,"Frekar vel",NA
"765","Karl",51,2,"Mjög mikinn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"766","Karl",23,1,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"767","Karl",30,5,"Engan áhuga",NA,NA,"Kaus ekki"
"768","Kona",27,2,"Nokkurn áhuga","Yfirleitt","Frekar vel","Sjálfstæðisflokkurinn"
"769","Karl",56,6,"Nokkurn áhuga",NA,"Frekar illa",NA
"770","Karl",82,4,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"771","Karl",39,5,"Mjög mikinn áhuga",NA,"Frekar illa","Píratar"
"772","Karl",83,4,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"773","Karl",23,5,"Nokkurn áhuga","Fáum","Frekar illa","Píratar"
"774","Kona",61,7,"Nokkurn áhuga",NA,"Frekar vel",NA
"775","Kona",23,6,"Lítinn áhuga",NA,"Frekar illa","Kaus ekki"
"776","Karl",58,5,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"777","Kona",54,6,"Nokkurn áhuga",NA,"Frekar vel",NA
"778","Karl",31,5,"Nokkurn áhuga"," Mörgum",NA,NA
"779","Kona",74,2,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"780","Kona",67,6,"Mikinn áhuga","Sumum","Frekar vel","Vinstrihreyfingin grænt framboð"
"781","Kona",35,7,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"782","Kona",53,6,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"783","Kona",37,1,"Nokkurn áhuga"," Mörgum",NA,"Framsóknarflokkurinn"
"784","Karl",49,4,"Nokkurn áhuga","Fáum","Frekar vel","Píratar"
"785","Karl",22,5,"Lítinn áhuga","Fáum","Frekar vel","Píratar"
"786","Kona",89,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"787","Karl",25,7,"Nokkurn áhuga"," Mörgum","Frekar illa","Píratar"
"788","Karl",50,7,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"789","Karl",20,1,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"790","Karl",27,4,"Nokkurn áhuga","Sumum","Frekar illa",NA
"791","Karl",62,6,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"792","Karl",19,4,"Mikinn áhuga",NA,"Frekar vel","Björt framtíð"
"793","Karl",20,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"794","Karl",77,1,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"795","Kona",50,1,"Mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"796","Karl",64,1,"Mikinn áhuga","Yfirleitt","Frekar illa","Framsóknarflokkurinn"
"797","Kona",26,2,"Mjög mikinn áhuga",NA,NA,"Framsóknarflokkurinn"
"798","Karl",20,4,"Mikinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"799","Kona",20,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"800","Karl",62,4,"Lítinn áhuga",NA,"Frekar illa","Samfylkingin"
"801","Karl",21,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"802","Karl",22,5,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"803","Karl",32,1,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"804","Kona",22,7,"Lítinn áhuga",NA,NA,NA
"805","Karl",57,2,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"806","Karl",21,5,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"807","Karl",51,2,"Nokkurn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"808","Karl",71,4,"Nokkurn áhuga","Sumum","Frekar vel",NA
"809","Karl",25,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"810","Kona",21,5,"Nokkurn áhuga","Sumum","Frekar vel","Píratar"
"811","Karl",46,5,"Nokkurn áhuga",NA,"Mjög vel","Vinstrihreyfingin grænt framboð"
"812","Kona",27,5,"Lítinn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"813","Karl",64,7,"Mikinn áhuga","Sumum",NA,"Framsóknarflokkurinn"
"814","Kona",48,4,"Lítinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"815","Kona",31,6,"Mikinn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"816","Kona",56,7,"Nokkurn áhuga","Fáum","Mjög illa","Sjálfstæðisflokkurinn"
"817","Kona",19,7,"Lítinn áhuga","Fáum",NA,"Vinstrihreyfingin grænt framboð"
"818","Karl",43,2,"Mjög mikinn áhuga","Fáum","Mjög illa","Sjálfstæðisflokkurinn"
"819","Karl",45,7,"Mjög mikinn áhuga"," Mörgum","Frekar illa","Samfylkingin"
"820","Karl",34,4,"Mikinn áhuga"," Mörgum","Frekar illa","Framsóknarflokkurinn"
"821","Kona",50,2,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"822","Kona",64,7,"Nokkurn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"823","Karl",38,7,"Mikinn áhuga","Sumum","Frekar illa","Píratar"
"824","Karl",72,6,"Mjög mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"825","Kona",79,4,"Nokkurn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"826","Kona",36,1,"Engan áhuga","Engum","Frekar illa","Björt framtíð"
"827","Karl",26,6,"Lítinn áhuga","Sumum","Frekar illa","Viðreisn"
"828","Karl",55,4,"Nokkurn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"829","Kona",67,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Björt framtíð"
"830","Kona",71,5,"Mikinn áhuga","Fáum","Frekar illa","Viðreisn"
"831","Kona",34,1,"Mjög mikinn áhuga",NA,"Frekar vel","Viðreisn"
"832","Karl",83,4,"Lítinn áhuga","Sumum","Frekar vel",NA
"833","Kona",27,5,"Engan áhuga","Sumum","Mjög illa",NA
"834","Kona",37,5,"Engan áhuga",NA,"Frekar vel","Björt framtíð"
"835","Karl",20,2,"Nokkurn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"836","Kona",45,7,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"837","Kona",39,4,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"838","Kona",38,1,"Lítinn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"839","Karl",56,4,"Mjög mikinn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"840","Karl",19,5,"Nokkurn áhuga",NA,"Mjög vel","Framsóknarflokkurinn"
"841","Karl",56,2,"Mjög mikinn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"842","Kona",31,5,"Nokkurn áhuga",NA,NA,"Dögun"
"843","Kona",18,7,"Nokkurn áhuga","Sumum",NA,NA
"844","Karl",72,7,"Mikinn áhuga"," Mörgum","Frekar vel","Vinstrihreyfingin grænt framboð"
"845","Karl",61,4,"Mjög mikinn áhuga","Yfirleitt","Frekar vel","Sjálfstæðisflokkurinn"
"846","Kona",48,1,"Nokkurn áhuga","Fáum","Mjög illa","Píratar"
"847","Karl",27,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"848","Kona",24,5,"Nokkurn áhuga","Fáum",NA,"Vinstrihreyfingin grænt framboð"
"849","Karl",37,5,"Nokkurn áhuga","Sumum","Frekar vel","Dögun"
"850","Karl",20,4,"Nokkurn áhuga"," Mörgum","Frekar illa","Framsóknarflokkurinn"
"851","Kona",40,1,"Lítinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"852","Kona",23,1,"Nokkurn áhuga",NA,"Mjög illa",NA
"853","Karl",53,4,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"854","Kona",85,5,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"855","Kona",48,4,"Nokkurn áhuga","Fáum","Frekar vel","Sjálfstæðisflokkurinn"
"856","Kona",62,2,"Mikinn áhuga","Engum","Frekar vel","Vinstrihreyfingin grænt framboð"
"857","Karl",84,7,"Nokkurn áhuga","Sumum","Frekar illa","Samfylkingin"
"858","Karl",80,5,"Lítinn áhuga","Fáum","Mjög illa","Framsóknarflokkurinn"
"859","Karl",28,5,"Nokkurn áhuga","Fáum",NA,"Framsóknarflokkurinn"
"860","Kona",38,1,"Engan áhuga",NA,"Mjög illa",NA
"861","Karl",29,7,"Lítinn áhuga","Fáum","Mjög illa",NA
"862","Kona",61,6,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"863","Kona",64,6,"Nokkurn áhuga","Yfirleitt","Frekar vel","Viðreisn"
"864","Kona",63,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"865","Kona",25,7,"Lítinn áhuga","Sumum",NA,NA
"866","Kona",70,4,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"867","Kona",75,5,"Lítinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"868","Kona",70,1,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"869","Kona",23,7,"Mikinn áhuga"," Mörgum",NA,"Kaus ekki"
"870","Kona",54,7,"Nokkurn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"871","Kona",43,1,"Lítinn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"872","Kona",19,6,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"873","Karl",19,4,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"874","Kona",53,5,"Mikinn áhuga"," Mörgum","Mjög vel","Sjálfstæðisflokkurinn"
"875","Kona",64,1,"Nokkurn áhuga","Sumum",NA,NA
"876","Karl",41,6,"Mikinn áhuga"," Mörgum","Frekar illa","Björt framtíð"
"877","Karl",26,7,"Mikinn áhuga"," Mörgum","Frekar illa","Dögun"
"878","Kona",51,5,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"879","Kona",63,7,"Lítinn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"880","Kona",38,6,"Nokkurn áhuga","Sumum","Mjög illa","Píratar"
"881","Karl",60,4,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"882","Kona",83,2,"Lítinn áhuga","Fáum","Frekar illa",NA
"883","Karl",35,5,"Nokkurn áhuga"," Mörgum","Frekar illa","Sjálfstæðisflokkurinn"
"884","Kona",47,7,"Nokkurn áhuga",NA,"Frekar illa",NA
"885","Karl",54,5,"Mikinn áhuga","Sumum","Frekar illa",NA
"886","Karl",51,7,"Lítinn áhuga","Fáum","Mjög illa","Flokkur fólksins"
"887","Karl",28,7,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"888","Kona",74,2,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"889","Kona",31,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"890","Karl",22,7,"Mjög mikinn áhuga",NA,"Mjög illa",NA
"891","Karl",25,4,"Lítinn áhuga","Fáum","Mjög illa","Kaus ekki"
"892","Kona",80,4,"Mikinn áhuga","Sumum","Frekar illa","Björt framtíð"
"893","Karl",61,5,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"894","Kona",42,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"895","Kona",30,2,"Lítinn áhuga",NA,"Frekar vel","Samfylkingin"
"896","Kona",48,6,"Lítinn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"897","Kona",51,2,"Mikinn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"898","Karl",60,5,"Lítinn áhuga",NA,"Frekar vel",NA
"899","Kona",62,6,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"900","Kona",77,5,"Nokkurn áhuga","Sumum","Frekar illa","Samfylkingin"
"901","Karl",38,7,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"902","Karl",46,2,"Mikinn áhuga","Sumum","Mjög illa","Framsóknarflokkurinn"
"903","Karl",58,4,"Mjög mikinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"904","Kona",86,4,"Mikinn áhuga","Sumum",NA,"Sjálfstæðisflokkurinn"
"905","Kona",61,6,"Engan áhuga","Sumum",NA,"Sjálfstæðisflokkurinn"
"906","Karl",82,1,"Engan áhuga","Fáum","Mjög illa",NA
"907","Kona",51,7,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"908","Karl",51,4,"Nokkurn áhuga","Fáum","Mjög illa","Framsóknarflokkurinn"
"909","Kona",58,5,"Engan áhuga",NA,"Mjög illa","Kaus ekki"
"910","Kona",41,5,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"911","Kona",63,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"912","Karl",70,5,"Mikinn áhuga","Sumum","Mjög illa","Píratar"
"913","Kona",19,4,"Mikinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"914","Karl",27,6,"Nokkurn áhuga","Sumum","Frekar vel","Kaus ekki"
"915","Kona",19,6,"Nokkurn áhuga","Sumum",NA,NA
"916","Kona",62,6,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"917","Kona",31,5,"Nokkurn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"918","Kona",48,1,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"919","Karl",33,1,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"920","Karl",80,2,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"921","Karl",59,2,"Lítinn áhuga","Sumum",NA,NA
"922","Kona",38,2,"Mikinn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"923","Kona",33,7,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"924","Kona",45,5,"Nokkurn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"925","Karl",18,4,"Nokkurn áhuga",NA,"Frekar illa",NA
"926","Karl",24,5,"Mikinn áhuga","Fáum","Mjög illa","Píratar"
"927","Karl",41,5,"Lítinn áhuga","Sumum","Frekar illa",NA
"928","Kona",18,1,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"929","Kona",37,6,"Lítinn áhuga","Fáum","Frekar illa","Píratar"
"930","Karl",49,4,"Nokkurn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"931","Kona",57,5,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"932","Kona",79,5,"Lítinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"933","Kona",56,2,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"934","Kona",49,5,"Nokkurn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"935","Karl",51,5,"Lítinn áhuga","Sumum","Frekar vel",NA
"936","Karl",30,5,"Nokkurn áhuga"," Mörgum","Mjög vel","Sjálfstæðisflokkurinn"
"937","Kona",45,7,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"938","Kona",34,2,"Lítinn áhuga","Fáum","Frekar vel","Vinstrihreyfingin grænt framboð"
"939","Kona",78,2,"Lítinn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"940","Kona",37,5,"Mikinn áhuga","Sumum","Frekar vel","Björt framtíð"
"941","Kona",70,1,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"942","Karl",45,7,"Engan áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"943","Karl",58,1,"Mjög mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
